SCBCRSE_SUBJ_CODE	SUBJ_DESC	SCBCRSE_CRSE_NUMB	College	COLL_DESC	Department	DEPT_DESC	Title	Long_Title	Status	Last_Taught	Schedule_Codes	CIP_Code	Course_Prerequisites	Course_Corequisites	COURSE_DESC
AAD	Arts Administration	202	VP	College Visual/Performing Arts	VPA	Dean's Office - VP	Arts Admin / Entrepreneurship	Arts Admin and Entrepreneurship	A	202001	LEC	501001			Introduces foundational skills for successful management, launching and growth of arts organizations. Topics include strategy, organizational structure, new venture launch, entrepreneurship, market analysis, marketing, fundraising and audience engagement. Notes: Same as ENT 202.
AAD	Arts Administration	300X	VP	College Visual/Performing Arts	VPA	Dean's Office - VP	Experimental Course	Experimental Course	A		LEC	501001			This number reserved for experimental courses. Refer to the Course Schedule for current offerings.
AAD	Arts Administration	301	VP	College Visual/Performing Arts	VPA	Dean's Office - VP	Arts Management	Arts Management	A	202001	LEC	501001	 VPA 201[D-] or AAD 202[D-] or ENT 202[D-]		Introduction to arts management for nonprofit arts organizations and arts businesses. Topics include strategy, management and leadership principles, marketing, fundraising, and financial management. Prerequisite: AAD 202/ENT 202.
AAD	Arts Administration	310	VP	College Visual/Performing Arts	VPA	Dean's Office - VP	Mng and Leading in the Arts	Managing and Leading in the Arts	A		LEC	501001			Students will learn about their own work style and best practices of leading and managing people and teams in the specific context of arts and creative organizations.  Prerequisite: AAD/ENT 202 Arts Administration or permission of instructor.
AAD	Arts Administration	320	VP	College Visual/Performing Arts	VPA	Dean's Office - VP	Arts Marketing	Arts Marketing	A		LEC	501001	 AAD 202[D-] or ENT 202[D-]		Marketing, sales and public relations strategy, planning and tactics for arts organizations and businesses. Prerequisite: AAD 202/ENT 202 or permission of instructor.
AAD	Arts Administration	321	VP	College Visual/Performing Arts	VPA	Dean's Office - VP	Fundraising in the Arts	Fundraising in the Arts	A		LEC	501001	 AAD 202[D-] or ENT 202[D-]		Fundraising strategy, planning and tactics for arts organizations including grant research and writing, solicitation and donor retention tactics. Prerequisite: AAD 202/ENT 202 or permission of instructor.
AAD	Arts Administration	380	VP	College Visual/Performing Arts	VPA	Dean's Office - VP	Intro to Art Museum Studies	Introduction to Art Museum Studies	A	201908	LEC	501001	 AAD 202[D-] or ENT 202[D-]		Introduces the functions of key art museum departments (Administration, Curatorial, Registration, Preparation/Installation, Education, Marketing, and Visitor Services/Security) and examines how they intersect to develop exhibitions, engage visitors, and build audiences. Prerequisite: AAD 202 or ENT 202; Note: Same as ARH 380.
AAD	Arts Administration	381	VP	College Visual/Performing Arts	VPA	Dean's Office - VP	Intro Art Museum Collections	Intro to Art Museum Collections	A	202001	LEC	501001	 AAD 380[D-] or ARH 380[D-]		For students interested in working in art museums. Topics include collection care, development, and utilization as well as museum organizational structures.  Assignments include readings, discussions, lectures, and field trips. Prerequisite: AAD 380/ARH 380; Notes: AAD 381 same as ARH 381.
AAD	Arts Administration	400X	VP	College Visual/Performing Arts	VPA	Dean's Office - VP	Experimental Course	Experimental Course	A		LEC	501001			This number reserved for experimental courses. Refer to the Course Schedule for current offerings.
AAD	Arts Administration	450	VP	College Visual/Performing Arts	VPA	Dean's Office - VP	Careers in Arts Administration	Careers in Arts Administration	A	201908	SEM	501001	 (AAD 202[D-] or ENT 202[D-]) and AAD 301[D-]		Career paths and career planning for students entering the arts administration field. Prerequisite: AAD 202/ENT 202 and AAD 301; Arts Administration majors or minors only or permission of instructor.
AAD	Arts Administration	455	VP	College Visual/Performing Arts	VPA	Dean's Office - VP	Art/ENT:Strategies for Artists	Arts and Entrepreneurship: Career Strategies for Artists	A		LEC	501002			Overview of professional performing arts career management tools. Students learn the basics of applying entrepreneurship skills and strategies to starting and sustaining an arts-related business. Prerequisite: ARAD, DANC, DRAM, MEDU, MUSI, or PRFM major; or permission of instructor; Notes: Same as DCE 455, ENT 455.
AAD	Arts Administration	475	VP	College Visual/Performing Arts	VPA	Dean's Office - VP	Independent Study	Independent Study	A	202001	IND	501001	 (AAD 202[D-] or ENT 202[D-]) and AAD 301[D-]		Independent directed study or research in arts administration with faculty supervision in area of special interest. Prerequisite: AAD 202/ENT 202 and AAD 301; Arts Administration major or minor AND permission of instructor.
AAD	Arts Administration	478	VP	College Visual/Performing Arts	VPA	Dean's Office - VP	Variable Topics in Arts Admin	Variable Topics in Arts Administration	A	202001	LEC	501001	 AAD 202[D-] or ENT 202[D-]		Advanced level arts administration course with a topical focus. Prerequisite: AAD 202/ENT 202; Notes: May be repeated for up to 12 credits total.
AAD	Arts Administration	493	VP	College Visual/Performing Arts	VPA	Dean's Office - VP	Honors Work	Honors Work	A		IND	501001	 (AAD 202[D-] or ENT 202[D-]) and AAD 301[D-]		Independent study course as required for Disciplinary Honors in Arts Administration. Student will complete Senior Honors Project. Prerequisite: AAD 202/ENT 202 and AAD 301; Junior or senior Arts Administration major; Permission of instructor; Permission of Honors College; 3.30 GPA in the major; 12 s.h. completed in the major; Notes: May be repeated for up to 6 credit hours.
