ID	course_code	SUBJ_DESC	COLL_DESC	DEPT_DESC	Long_Title	COURSE_DESC	Related_To_Data_Science
0	ACC-561	Accounting	Sch of Business and Economics	Accounting and Finance	Governmental and Nonprofit Accounting	This course will introduce students to accounting and financial reporting for nonprofit organizations and governmental entities.	0
1	ACC-613	Accounting	Sch of Business and Economics	Accounting and Finance	Directed Studies in Accounting	Individual study of an issue or problem of interest. Student must arrange topic and course requirements with instructor prior to registration.	0
2	ACC-621	Accounting	Sch of Business and Economics	Accounting and Finance	Accounting Internship	Combined academic and work components allow students to gain experience in the professional field of accounting. Course supervised by a graduate faculty member and appropriate personnel of the approved organization.	0
3	ACC-630	Accounting	Sch of Business and Economics	Accounting and Finance	Seminar in Contemporary Accounting Issues	Analysis, research, and presentation of current topics and issues relevant to professional accountants.	0
4	ACC-631	Accounting	Sch of Business and Economics	Accounting and Finance	Advanced Auditing	Ethics, reporting, law, statistics, and audit software; directed towards professional external and internal auditing.	0
5	ACC-638	Accounting	Sch of Business and Economics	Accounting and Finance	Information Technology Auditing and Accounting Data Analytics	Theory and practice of information technology auditing; computer based systems controls; data analytics models and methods focusing on accounting applications.	1
6	ACC-642	Accounting	Sch of Business and Economics	Accounting and Finance	Specialized Accounting Entities	Theory and practice associated with business combinations, consolidated financial statements, partnerships, international operations, bankruptcy and other accounting topics related to specialized accounting entities.	0
7	ACC-646	Accounting	Sch of Business and Economics	Accounting and Finance	Advanced Study in Business Environment and Concepts	An in-depth study and review of the underlying reasons for, and accounting implications of, business transactions. This course is only offered online.	0
8	ACC-647	Accounting	Sch of Business and Economics	Accounting and Finance	Advanced Study in Financial Accounting and Reporting	An in-depth study and review of the accounting and reporting represented on the four major financial statements.	0
9	ACC-648	Accounting	Sch of Business and Economics	Accounting and Finance	Guided Study in Taxation & Business Law	An in-depth study and review of specialized current topics in tax and business law.  This course is only offered online.	0
10	ACC-649	Accounting	Sch of Business and Economics	Accounting and Finance	Advanced Study in Auditing and Attestation	This course provides an in-depth study and review of advanced specialized current topics in auditing and attestation.	0
11	ACC-651	Accounting	Sch of Business and Economics	Accounting and Finance	Introduction to Business Entity Taxation	The principles of entity taxation associated with corporations, S corporations, and partnerships. Focuses on a life-cycle approach of tax accounting for these tax entities recognized in the U.S., focusing on issues such as formation, operation, and distributions of corporations.	0
12	ACC-652	Accounting	Sch of Business and Economics	Accounting and Finance	Taxation of Estates, Gifts and Trusts 	Principles and procedures involved in determining federal estate tax; tax planning using gifts and trusts.	0
13	ACC-655	Accounting	Sch of Business and Economics	Accounting and Finance	Taxation of Corporations and Shareholders	Federal taxation of business transactions affecting corporations and shareholders.	0
14	ACC-656	Accounting	Sch of Business and Economics	Accounting and Finance	Taxation of Flow-Through Business Entities	Federal taxation of business transactions affecting flow-through business entities, including partnerships, S corporations, limited liability companies and their owners.	0
15	ACC-688	Accounting	Sch of Business and Economics	Accounting and Finance	Advanced Business Law	Explores legal issues in contract and sales law, negotiable instruments, agency, and business associations and at the same time considers ethical and managerial issues involved when these legal issues arise.	0
16	ADS-610	African Amrcn/African Diaspora	College of Arts and Sciences	African Amer/African Diaspora	African American Theoretical Perspectives	Historical and theoretical approaches to analyzing race, gender, and class as related to African Americans.	0
17	ADS-650	African Amrcn/African Diaspora	College of Arts and Sciences	African Amer/African Diaspora	Topics in African American Gender Studies	Constructed gender identity of African Americans and intersections of race, gender, class, and sexuality. Politics of African American gender construction, historical notions of gender performance, and aspects of black sexuality.	0
18	ADS-652	African Amrcn/African Diaspora	College of Arts and Sciences	African Amer/African Diaspora	Topics in Black Performance Studies	Implications of historical displays of Black people in relation to contemporary black performance, particularly as it involves a shift in bodies and terms.	0
19	ADS-653	African Amrcn/African Diaspora	College of Arts and Sciences	African Amer/African Diaspora	Perspectives on the African American Experience	Investigates selected individuals, events, and social and cultural movements that have fundamentally shaped the course of African American advancement in mainstream society.	0
20	ARH-500	Art History	College Visual/Performing Arts	School of Art	Traditions of Art Criticism	A study of the major critical traditions from the Italian Renaissance to the present, aiming to define the role of criticism in the production and reception of works of art.	0
21	ARH-501	Art History	College Visual/Performing Arts	School of Art	Topics in the History of Art	Special topics in the history of art, ancient to contemporary.	0
22	ARH-503	Art History	College Visual/Performing Arts	School of Art	Perspectives in Contemporary Art	Seminar on artists whose work or writings have raised critical questions relevant to recent art. Open to MFA students and qualified undergraduates.	0
23	ARH-504	Art History	College Visual/Performing Arts	School of Art	Salon to Biennale and Beyond	A seminar on the development and transformation of art worlds and urban spaces with a specific focus on the development of Salons, Biennales, World's Fairs, and Art Fairs.	0
24	ARH-601	Art History	College Visual/Performing Arts	School of Art	Public Art	Study of traditional monuments, such as the pyramids, Michelangelo's David, and recent large-scale works, including the Vietnam Memorial, with attention to questions of site, scale, purpose, and audience.	0
25	ARH-619	Art History	College Visual/Performing Arts	School of Art	Research Problems in Art History, Art Criticism	Independent research in art history or criticism. May be repeated for credit.	0
26	ART-557	Art	College Visual/Performing Arts	School of Art	Site-Specific Sculpture	Provides opportunity to make site-specific sculptures; process of making work in the public arena from initial conception, interaction with jury committee to completed sculpture.	0
27	ART-592	Art	College Visual/Performing Arts	School of Art	Professional Practices, Aesthetics, and Preparation for the Visual Artist	Emerging artists participate in their community and acquire the skills of career professionals. Students will engage in critical dialog related to gallery lectures, exhibitions, and symposia, and prepare to exhibit, present, and document their studio work.	0
28	ART-610	Art	College Visual/Performing Arts	School of Art	Graduate Studio Seminar	Advanced work in visual art combining studio practice, seminar discussions of contemporary art texts and group critiques.	0
29	ART-622	Art	College Visual/Performing Arts	School of Art	Drawing Marathon	Four two-day sessions of intensive drawing from figure, interior, still life, and imagination using a variety of materials. Emphasis on longer periods of uninterrupted drawing.	0
30	ART-627	Art	College Visual/Performing Arts	School of Art	Lithography	Aesthetic and technical exploration of planographic methods in lithography.	0
31	ART-629	Art	College Visual/Performing Arts	School of Art	Studio Problems in Drawing, Painting, or Printmaking	Independent work in drawing, painting, or printmaking.	0
32	ART-635	Art	College Visual/Performing Arts	School of Art	Painting	Advanced practice and theory of painting with an inclusive interpretation of painting.	0
33	ART-641	Art	College Visual/Performing Arts	School of Art	New and Expanded Media	Special studio topics in design ranging from digital photography to systems based art.	0
34	ART-649	Art	College Visual/Performing Arts	School of Art	Studio Problems in New Media	Independent work in digital media or photography.	0
35	ART-657	Art	College Visual/Performing Arts	School of Art	Sculpture	Advanced work in sculpture.	0
36	ART-659	Art	College Visual/Performing Arts	School of Art	Studio Problems in Sculpture	Independent work in sculpture.	0
37	ART-682	Art	College Visual/Performing Arts	School of Art	Ceramics	Advanced work in ceramics.	0
38	ART-685	Art	College Visual/Performing Arts	School of Art	Photography	Advanced work in photography.	0
39	ATY-501	Anthropology	College of Arts and Sciences	Anthropology	Selected Topics in Anthropology	Opportunity for advanced students to study in depth topic or issue of special interest.	0
